nbr_clauses,temps,memUsage
2,0.000000,6
4,0.000000,12
6,0.000000,18
8,0.000000,24
10,0.000000,30
12,0.000000,36
14,0.000000,42
16,0.000000,48
18,0.000000,54
20,0.000000,60
22,0.000000,66
24,0.000000,72
26,0.000000,78
28,0.000000,84
30,0.000000,90
32,0.000000,96
34,0.000000,102
36,0.000000,108
38,0.000000,114
40,0.000000,120
42,0.000000,126
44,0.000000,132
46,0.000000,138
48,0.000000,144
50,0.000000,150
52,0.000000,156
54,0.000000,162
56,0.000000,168
58,0.000000,174
60,0.000000,180
62,0.000000,186
64,0.000000,192
66,0.000000,198
68,0.000000,204
70,0.000000,210
72,0.000000,216
74,0.000000,222
76,0.000000,228
78,0.000000,234
80,0.000000,240
82,0.000000,246
84,0.000000,252
86,0.000000,258
88,0.000000,264
90,0.000000,270
92,0.000000,276
94,0.000000,282
96,0.000000,288
98,0.000000,294
100,0.000000,300
102,0.000000,306
104,0.000000,312
106,0.000000,318
108,0.000000,324
110,0.000000,330
112,0.000000,336
114,0.000000,342
116,0.000000,348
118,0.000000,354
120,0.000000,360
122,0.000000,366
124,0.000000,372
126,0.000000,378
128,0.000000,384
130,0.000000,390
132,0.000000,396
134,0.000000,402
136,0.001000,408
138,0.000000,414
140,0.000000,420
142,0.000000,426
144,0.000000,432
146,0.000000,438
148,0.000000,444
150,0.000000,450
152,0.000000,456
154,0.000000,462
156,0.000000,468
158,0.000000,474
160,0.000000,480
162,0.000000,486
164,0.000000,492
166,0.000000,498
168,0.000000,504
170,0.000000,510
172,0.000000,516
174,0.000000,522
176,0.000000,528
178,0.000000,534
180,0.000000,540
182,0.000000,546
184,0.000000,552
186,0.000000,558
188,0.000000,564
190,0.000000,570
192,0.000000,576
194,0.000000,582
196,0.000000,588
198,0.000000,594
200,0.000000,600
202,0.000000,606
204,0.000000,612
206,0.000000,618
208,0.000000,624
210,0.000000,630
212,0.000000,636
214,0.000000,642
216,0.000000,648
218,0.000000,654
220,0.000000,660
222,0.001000,666
224,0.000000,672
226,0.000000,678
228,0.000000,684
230,0.000000,690
232,0.000000,696
234,0.000000,702
236,0.000000,708
238,0.000000,714
240,0.000000,720
242,0.000000,726
244,0.000000,732
246,0.000000,738
248,0.000000,744
250,0.000000,750
252,0.000000,756
254,0.000000,762
256,0.000000,768
258,0.000000,774
260,0.000000,780
262,0.000000,786
264,0.000000,792
266,0.000000,798
268,0.000000,804
270,0.000000,810
272,0.000000,816
274,0.000000,822
276,0.000000,828
278,0.000000,834
280,0.000000,840
282,0.000000,846
284,0.000000,852
286,0.000000,858
288,0.000000,864
290,0.000000,870
292,0.000000,876
294,0.000000,882
296,0.000000,888
298,0.000000,894
300,0.000000,900
302,0.000000,906
304,0.000000,912
306,0.000000,918
308,0.000000,924
310,0.000000,930
312,0.001000,936
314,0.000000,942
316,0.000000,948
318,0.000000,954
320,0.000000,960
322,0.000000,966
324,0.000000,972
326,0.000000,978
328,0.000000,984
330,0.000000,990
332,0.000000,996
334,0.000000,1002
336,0.000000,1008
338,0.000000,1014
340,0.000000,1020
342,0.000000,1026
344,0.000000,1032
346,0.000000,1038
348,0.000000,1044
350,0.000000,1050
352,0.000000,1056
354,0.000000,1062
356,0.000000,1068
358,0.000000,1074
360,0.000000,1080
362,0.000000,1086
364,0.000000,1092
366,0.000000,1098
368,0.000000,1104
370,0.000000,1110
372,0.000000,1116
374,0.000000,1122
376,0.000000,1128
378,0.000000,1134
380,0.000000,1140
382,0.000000,1146
384,0.000000,1152
386,0.000000,1158
388,0.000000,1164
390,0.000000,1170
392,0.000000,1176
394,0.000000,1182
396,0.000000,1188
398,0.000000,1194
400,0.000000,1200
402,0.000000,1206
404,0.000000,1212
406,0.000000,1218
408,0.001000,1224
410,0.000000,1230
412,0.000000,1236
414,0.000000,1242
416,0.000000,1248
418,0.000000,1254
420,0.000000,1260
422,0.000000,1266
424,0.000000,1272
426,0.000000,1278
428,0.000000,1284
430,0.000000,1290
432,0.000000,1296
434,0.000000,1302
436,0.000000,1308
438,0.000000,1314
440,0.000000,1320
442,0.000000,1326
444,0.000000,1332
446,0.000000,1338
448,0.000000,1344
450,0.000000,1350
452,0.000000,1356
454,0.000000,1362
456,0.000000,1368
458,0.000000,1374
460,0.000000,1380
462,0.000000,1386
464,0.000000,1392
466,0.000000,1398
468,0.000000,1404
470,0.000000,1410
472,0.000000,1416
474,0.000000,1422
476,0.000000,1428
478,0.000000,1434
480,0.000000,1440
482,0.000000,1446
484,0.000000,1452
486,0.000000,1458
488,0.000000,1464
490,0.001000,1470
492,0.000000,1476
494,0.000000,1482
496,0.000000,1488
498,0.000000,1494
500,0.000000,1500
502,0.000000,1506
504,0.000000,1512
506,0.000000,1518
508,0.000000,1524
510,0.000000,1530
512,0.000000,1536
514,0.000000,1542
516,0.000000,1548
518,0.000000,1554
520,0.000000,1560
522,0.000000,1566
524,0.000000,1572
526,0.000000,1578
528,0.000000,1584
530,0.000000,1590
532,0.000000,1596
534,0.000000,1602
536,0.000000,1608
538,0.000000,1614
540,0.000000,1620
542,0.000000,1626
544,0.000000,1632
546,0.000000,1638
548,0.000000,1644
550,0.000000,1650
552,0.000000,1656
554,0.000000,1662
556,0.000000,1668
558,0.000000,1674
560,0.000000,1680
562,0.000000,1686
564,0.000000,1692
566,0.000000,1698
568,0.000000,1704
570,0.000000,1710
572,0.001000,1716
574,0.000000,1722
576,0.000000,1728
578,0.000000,1734
580,0.000000,1740
582,0.000000,1746
584,0.000000,1752
586,0.000000,1758
588,0.000000,1764
590,0.000000,1770
592,0.000000,1776
594,0.000000,1782
596,0.000000,1788
598,0.000000,1794
600,0.000000,1800
602,0.000000,1806
604,0.000000,1812
606,0.000000,1818
608,0.000000,1824
610,0.000000,1830
612,0.000000,1836
614,0.000000,1842
616,0.000000,1848
618,0.000000,1854
620,0.000000,1860
622,0.000000,1866
624,0.000000,1872
626,0.000000,1878
628,0.000000,1884
630,0.000000,1890
632,0.001000,1896
634,0.000000,1902
636,0.000000,1908
638,0.000000,1914
640,0.001000,1920
642,0.000000,1926
644,0.000000,1932
646,0.000000,1938
648,0.000000,1944
650,0.000000,1950
652,0.000000,1956
654,0.000000,1962
656,0.000000,1968
658,0.000000,1974
660,0.000000,1980
662,0.000000,1986
664,0.000000,1992
666,0.000000,1998
668,0.000000,2004
670,0.000000,2010
672,0.000000,2016
674,0.000000,2022
676,0.000000,2028
678,0.000000,2034
680,0.000000,2040
682,0.000000,2046
684,0.000000,2052
686,0.000000,2058
688,0.000000,2064
690,0.000000,2070
692,0.000000,2076
694,0.000000,2082
696,0.000000,2088
698,0.000000,2094
700,0.000000,2100
702,0.000000,2106
704,0.000000,2112
706,0.000000,2118
708,0.000000,2124
710,0.000000,2130
712,0.000000,2136
714,0.000000,2142
716,0.000000,2148
718,0.000000,2154
720,0.000000,2160
722,0.000000,2166
724,0.000000,2172
726,0.000000,2178
728,0.000000,2184
730,0.000000,2190
732,0.000000,2196
734,0.000000,2202
736,0.000000,2208
738,0.000000,2214
740,0.000000,2220
742,0.000000,2226
744,0.000000,2232
746,0.000000,2238
748,0.000000,2244
750,0.000000,2250
752,0.000000,2256
754,0.000000,2262
756,0.000000,2268
758,0.000000,2274
760,0.000000,2280
762,0.000000,2286
764,0.000000,2292
766,0.001000,2298
768,0.000000,2304
770,0.000000,2310
772,0.000000,2316
774,0.000000,2322
776,0.000000,2328
778,0.000000,2334
780,0.000000,2340
782,0.000000,2346
784,0.000000,2352
786,0.000000,2358
788,0.000000,2364
790,0.000000,2370
792,0.000000,2376
794,0.000000,2382
796,0.000000,2388
798,0.000000,2394
800,0.000000,2400
802,0.000000,2406
804,0.000000,2412
806,0.000000,2418
808,0.000000,2424
810,0.000000,2430
812,0.000000,2436
814,0.000000,2442
816,0.000000,2448
818,0.000000,2454
820,0.000000,2460
822,0.000000,2466
824,0.000000,2472
826,0.000000,2478
828,0.000000,2484
830,0.000000,2490
832,0.000000,2496
834,0.000000,2502
836,0.000000,2508
838,0.000000,2514
840,0.000000,2520
842,0.000000,2526
844,0.000000,2532
846,0.001000,2538
848,0.000000,2544
850,0.000000,2550
852,0.000000,2556
854,0.000000,2562
856,0.000000,2568
858,0.000000,2574
860,0.000000,2580
862,0.000000,2586
864,0.000000,2592
866,0.000000,2598
868,0.000000,2604
870,0.000000,2610
872,0.000000,2616
874,0.000000,2622
876,0.000000,2628
878,0.000000,2634
880,0.000000,2640
882,0.000000,2646
884,0.000000,2652
886,0.000000,2658
888,0.000000,2664
890,0.000000,2670
892,0.000000,2676
894,0.000000,2682
896,0.000000,2688
898,0.000000,2694
900,0.000000,2700
902,0.000000,2706
904,0.000000,2712
906,0.000000,2718
908,0.000000,2724
910,0.000000,2730
912,0.001000,2736
914,0.000000,2742
916,0.000000,2748
918,0.000000,2754
920,0.000000,2760
922,0.000000,2766
924,0.000000,2772
926,0.000000,2778
928,0.000000,2784
930,0.000000,2790
932,0.000000,2796
934,0.000000,2802
936,0.000000,2808
938,0.000000,2814
940,0.000000,2820
942,0.000000,2826
944,0.000000,2832
946,0.000000,2838
948,0.000000,2844
950,0.000000,2850
952,0.000000,2856
954,0.001000,2862
956,0.000000,2868
958,0.000000,2874
960,0.000000,2880
962,0.000000,2886
964,0.000000,2892
966,0.000000,2898
968,0.000000,2904
970,0.000000,2910
972,0.000000,2916
974,0.000000,2922
976,0.000000,2928
978,0.000000,2934
980,0.000000,2940
982,0.000000,2946
984,0.000000,2952
986,0.000000,2958
988,0.000000,2964
990,0.000000,2970
