nbr_clauses,temps,memUsage
2,0.000000,14
4,0.000000,20
6,0.000000,26
8,0.000000,32
10,0.000000,38
12,0.000000,44
14,0.000000,50
16,0.000000,56
18,0.000000,62
20,0.000000,68
22,0.000000,74
24,0.000000,80
26,0.000000,86
28,0.000000,92
30,0.000000,98
32,0.000000,104
34,0.000000,110
36,0.000000,116
38,0.000000,122
40,0.000000,128
42,0.000000,134
44,0.000000,140
46,0.000000,146
48,0.000000,152
50,0.000000,158
52,0.000000,164
54,0.000000,170
56,0.000000,176
58,0.000000,182
60,0.000000,188
62,0.000000,194
64,0.000000,200
66,0.000000,206
68,0.000000,212
70,0.000000,218
72,0.000000,224
74,0.000000,230
76,0.000000,236
78,0.000000,242
80,0.000000,248
82,0.000000,254
84,0.000000,260
86,0.000000,266
88,0.000000,272
90,0.000000,278
92,0.000000,284
94,0.000000,290
96,0.000000,296
98,0.000000,302
100,0.000000,308
102,0.000000,314
104,0.000000,320
106,0.000000,326
108,0.000000,332
110,0.000000,338
112,0.000000,344
114,0.000000,350
116,0.000000,356
118,0.000000,362
120,0.000000,368
122,0.000000,374
124,0.000000,380
126,0.000000,386
128,0.000000,392
130,0.000000,398
132,0.000000,404
134,0.000000,410
136,0.000000,416
138,0.000000,422
140,0.000000,428
142,0.000000,434
144,0.000000,440
146,0.000000,446
148,0.000000,452
150,0.000000,458
152,0.000000,464
154,0.000000,470
156,0.000000,476
158,0.000000,482
160,0.000000,488
162,0.000000,494
164,0.000000,500
166,0.000000,506
168,0.000000,512
170,0.000000,518
172,0.000000,524
174,0.000000,530
176,0.000000,536
178,0.000000,542
180,0.000000,548
182,0.000000,554
184,0.000000,560
186,0.000000,566
188,0.000000,572
190,0.000000,578
192,0.000000,584
194,0.000000,590
196,0.000000,596
198,0.000000,602
200,0.000000,608
202,0.000000,614
204,0.000000,620
206,0.000000,626
208,0.000000,632
210,0.000000,638
212,0.000000,644
214,0.000000,650
216,0.000000,656
218,0.000000,662
220,0.000000,668
222,0.000000,674
224,0.000000,680
226,0.000000,686
228,0.000000,692
230,0.000000,698
232,0.000000,704
234,0.000000,710
236,0.000000,716
238,0.000000,722
240,0.000000,728
242,0.000000,734
244,0.000000,740
246,0.000000,746
248,0.000000,752
250,0.000000,758
252,0.000000,764
254,0.000000,770
256,0.000000,776
258,0.000000,782
260,0.000000,788
262,0.000000,794
264,0.000000,800
266,0.000000,806
268,0.000000,812
270,0.000000,818
272,0.000000,824
274,0.000000,830
276,0.000000,836
278,0.000000,842
280,0.000000,848
282,0.000000,854
284,0.000000,860
286,0.000000,866
288,0.000000,872
290,0.000000,878
292,0.000000,884
294,0.000000,890
296,0.000000,896
298,0.000000,902
300,0.000000,908
302,0.000000,914
304,0.000000,920
306,0.000000,926
308,0.000000,932
310,0.000000,938
312,0.000000,944
314,0.000000,950
316,0.000000,956
318,0.000000,962
320,0.000000,968
322,0.000000,974
324,0.000000,980
326,0.000000,986
328,0.000000,992
330,0.000000,998
332,0.000000,1004
334,0.000000,1010
336,0.000000,1016
338,0.000000,1022
340,0.000000,1028
342,0.000000,1034
344,0.000000,1040
346,0.000000,1046
348,0.000000,1052
350,0.000000,1058
352,0.000000,1064
354,0.000000,1070
356,0.000000,1076
358,0.000000,1082
360,0.000000,1088
362,0.000000,1094
364,0.000000,1100
366,0.000000,1106
368,0.000000,1112
370,0.000000,1118
372,0.000000,1124
374,0.000000,1130
376,0.000000,1136
378,0.000000,1142
380,0.000000,1148
382,0.000000,1154
384,0.000000,1160
386,0.000000,1166
388,0.000000,1172
390,0.000000,1178
392,0.000000,1184
394,0.000000,1190
396,0.000000,1196
398,0.000000,1202
400,0.000000,1208
402,0.000000,1214
404,0.000000,1220
406,0.000000,1226
408,0.000000,1232
410,0.000000,1238
412,0.000000,1244
414,0.000000,1250
416,0.000000,1256
418,0.000000,1262
420,0.000000,1268
422,0.000000,1274
424,0.000000,1280
426,0.000000,1286
428,0.000000,1292
430,0.000000,1298
432,0.000000,1304
434,0.000000,1310
436,0.000000,1316
438,0.000000,1322
440,0.000000,1328
442,0.000000,1334
444,0.000000,1340
446,0.000000,1346
448,0.000000,1352
450,0.000000,1358
452,0.000000,1364
454,0.000000,1370
456,0.000000,1376
458,0.000000,1382
460,0.000000,1388
462,0.000000,1394
464,0.000000,1400
466,0.000000,1406
468,0.000000,1412
470,0.000000,1418
472,0.000000,1424
474,0.000000,1430
476,0.000000,1436
478,0.000000,1442
480,0.000000,1448
482,0.000000,1454
484,0.000000,1460
486,0.000000,1466
488,0.000000,1472
490,0.000000,1478
492,0.000000,1484
494,0.000000,1490
496,0.000000,1496
498,0.000000,1502
500,0.000000,1508
