num_clauses,num_vars,num_literals,temps,memUsage
2000000,2,2,0.000000,31999360
2002000,19,2,0.000000,32028420
2004000,2,2,0.000000,32068332
2006000,27,1,0.000000,32100424
2008000,8,3,0.000000,32130036
2010000,38,3,0.000000,32150832
2012000,10,1,0.000000,32198356
2014000,17,3,0.000000,32218112
2016000,11,2,0.000000,32256296
2018000,6,3,0.000000,32297792
2020000,50,3,0.000000,32325312
2022000,30,3,0.002000,32353496
2024000,43,2,0.000000,32381932
2026000,29,3,0.000000,32421032
2028000,16,1,0.000000,32445060
2030000,36,2,0.001000,32478828
2032000,31,1,0.000000,32516136
2034000,4,1,0.000000,32544956
2036000,32,1,0.000000,32576416
2038000,32,1,0.000000,32609504
2040000,18,2,0.000000,32640544
2042000,41,1,0.001000,32670984
2044000,23,2,0.000000,32703808
2046000,24,1,0.000000,32729412
2048000,27,1,0.000000,32776236
2050000,22,1,0.000000,32795392
2052000,18,1,0.000000,32828976
2054000,48,1,0.010000,32871912
2056000,19,3,0.000000,32892680
2058000,14,1,0.000000,32927684
2060000,19,2,0.000000,32955688
2062000,20,2,0.000000,32988120
2064000,16,2,0.007000,33032920
2066000,29,3,0.000000,33056992
2068000,32,2,0.000000,33092360
2070000,42,1,0.000000,33123820
2072000,32,1,0.000000,33146740
2074000,29,1,0.000000,33187136
2076000,7,3,0.000000,33211712
2078000,50,3,0.000000,33243888
2080000,34,2,0.000000,33281008
2082000,13,2,0.000000,33313528
2084000,43,1,0.000000,33334112
2086000,39,1,0.000000,33386452
2088000,39,3,0.000000,33411756
2090000,21,3,0.000000,33439284
2092000,11,3,0.000000,33472020
2094000,28,1,0.000000,33504836
2096000,46,3,0.000000,33535372
2098000,15,2,0.000000,33567224
2100000,39,1,0.000000,33601544
2102000,42,1,0.015000,33629788
2104000,29,3,0.000000,33666640
2106000,45,1,0.000000,33694528
2108000,26,2,0.000000,33739688
2110000,44,3,0.000000,33759864
2112000,42,2,0.000000,33788972
2114000,42,2,0.000000,33825772
2116000,26,2,0.000000,33848044
2118000,7,2,0.000000,33886352
2120000,48,2,0.000000,33921040
2122000,19,3,0.000000,33945856
2124000,45,3,0.000000,33985668
2126000,29,1,0.000000,34006804
2128000,10,1,0.000000,34050012
2130000,41,3,0.000000,34082788
2132000,39,3,0.000000,34114788
2134000,40,2,0.000000,34144460
2136000,31,2,0.000000,34184000
2138000,36,3,0.000000,34203864
2140000,21,2,0.000000,34234636
2142000,20,2,0.000000,34274508
2144000,37,2,0.000000,34293048
2146000,48,2,0.000000,34345300
2148000,48,3,0.000000,34368272
2150000,15,1,0.000000,34389184
2152000,5,3,0.000000,34436556
2154000,20,1,0.000000,34460144
2156000,24,2,0.000000,34491060
2158000,37,1,0.002000,34535528
2160000,6,3,0.000000,34557156
2162000,39,2,0.000000,34584276
2164000,34,2,0.001000,34627360
2166000,24,3,0.000000,34659148
2168000,7,2,0.000000,34686096
2170000,37,1,0.000000,34718356
