nbr_clauses,num_vars,num_literals,temps,memUsage
68083,343,2,0.000005,1871380
148957,512,2,0.000005,4110812
68083,343,2,0.000000,1880116
148957,512,2,0.000005,4126044
10469,512,2,0.000000,229116
16732,729,2,0.000000,366076
9685,512,2,0.000000,214332
15580,729,2,0.000000,344188
28540,729,2,0.000000,655228
43636,1000,2,0.000005,1000948
64054,1331,2,0.000005,1468176
90919,1728,2,0.000005,2082508
125464,2197,2,0.000010,2871988
21844,729,2,0.000000,494236
33466,1000,2,0.000000,756508
49204,1331,2,0.000005,1111336
69931,1728,2,0.000010,1578268
22060,729,2,0.000005,499708
33736,1000,2,0.000005,763348
49534,1331,2,0.000005,1119696
70327,1728,2,0.000005,1588300
97072,2197,2,0.000005,2190580
