Test_Num,Variables_Originales,Clauses_Originales,Clauses_Initial,Clauses_3SAT,Nouvelles_Variables,Temps_Execution,Memoire_Originale(bytes),Memoire_Resultat(bytes),Memoire_Totale(bytes)
1,50,47,47,12386496,-1549622930,0.000000,422996,148637964,149060960
2,39,66,66,12386496,-1549622919,0.000000,430672,148637964,149068636
3,38,23,23,12386496,-1549622918,0.000000,413300,148637964,149051264
4,47,33,33,12386496,-1549622927,0.000000,417340,148637964,149055304
5,22,22,22,12386496,-1549622902,0.000000,412896,148637964,149050860
6,13,37,37,12386496,-1549622893,0.000000,418956,148637964,149056920
7,59,54,54,12386496,-1549622939,0.000000,425824,148637964,149063788
8,59,26,26,12386496,-1549622939,0.000000,414512,148637964,149052476
9,80,37,37,12386496,-1549622960,0.000000,418956,148637964,149056920
10,71,76,76,12386496,-1549622951,0.000000,434712,148637964,149072676
11,95,36,36,12386496,-1549622975,0.000000,418552,148637964,149056516
12,85,75,75,12386496,-1549622965,0.000000,434308,148637964,149072272
13,94,95,95,12386496,-1549622974,0.000000,442388,148637964,149080352
14,74,53,53,12386496,-1549622954,0.000000,425420,148637964,149063384
15,49,72,72,12386496,-1549622929,0.000000,433096,148637964,149071060
16,53,90,90,12386496,-1549622933,0.000000,440368,148637964,149078332
17,25,72,72,12386496,-1549622905,0.000000,433096,148637964,149071060
18,72,93,93,12386496,-1549622952,0.000000,441580,148637964,149079544
19,59,50,50,12386496,-1549622939,0.000000,424208,148637964,149062172
20,97,36,36,12386496,-1549622977,0.000000,418552,148637964,149056516
